D,F(D),Sigma(D),F(Sigma(D))
191931,-328599,17994,-136668
191939,-639053,35989,-447114
191943,-268111,71979,-76168
191945,-560575,143959,-368630
191947,-225220,8998,-33273
191955,-772037,35992,-580082
191959,-534682,71985,-342723
191961,-436214,143971,-244253
191963,-311930,17997,-119967
191969,-1152934,143977,-960965
191971,-234686,35995,-42715
191975,-874718,71991,-682743
191977,-1034452,143983,-842475
191979,-320851,4500,-128872
191987,-474587,35998,-282600
191991,-740337,71997,-548346
191993,-500016,143995,-308023
192001,-1337969,144001,-1145968
192003,-277335,36001,-85332
192007,-1915564,72003,-1723557
192009,-2028072,144007,-1836063
192011,-256398,9001,-64387
192015,-2130328,72006,-1938313
192023,-479410,72009,-287387
192025,-590241,144019,-398216
192027,-286886,18003,-94859
192031,-580191,72012,-388160
192033,-567569,144025,-375536
192035,-315025,36007,-122990
192039,-1500405,72015,-1308366
192041,-1731083,144031,-1539042
192043,-194945,2251,-2902
192047,-2058240,72018,-1866193
192051,-2217151,36010,-2025100
192057,-336751,144043,-144694
192059,-291313,18006,-99254
192065,-1212203,144049,-1020138
192067,-322704,36013,-130637
192071,-287567,72027,-95496
192073,-840664,144055,-648591
192075,-246495,9004,-54420
192083,-776921,36016,-584838
192087,-381711,72033,-189624
192089,-815688,144067,-623599
192091,-240523,18009,-48432
192095,-774158,72036,-582063
192097,-608255,144073,-416158
192099,-259386,36019,-67287
192103,-315671,72039,-123568
192107,-201534,4503,-9427
192111,-571132,72042,-379021
192115,-441395,36022,-249280
192119,-419331,72045,-227212
192121,-469017,144091,-276896
192123,-386844,18012,-194721
192129,-723806,144097,-531677
192131,-258410,36025,-66279
192135,-360434,72051,-168299
192137,-473017,144103,-280880
192139,-211559,9007,-19420
192145,-717264,144109,-525119
192147,-496884,36028,-304737
192151,-325286,72057,-133135
192155,-269976,18015,-77821
192159,-721499,72060,-529340
192161,-497423,144121,-305262
192163,-354293,36031,-162130
192171,-193421,282,-1250
192175,-567094,72066,-374919
192179,-300038,36034,-107859
192183,-1453706,72069,-1261523
192185,-368141,144139,-175956
192187,-262292,18018,-70105
192193,-896854,144145,-704661
192195,-1486247,36037,-1294052
192199,-270968,72075,-78769
192201,-551424,144151,-359223
192203,-218043,9010,-25840
192209,-964262,144157,-772053
192211,-535290,36040,-343079
192215,-486370,72081,-294155
192217,-385168,144163,-192951
192219,-278458,18021,-86239
192225,-846650,144169,-654425
192227,-235176,36043,-42949
192231,-323722,72087,-131491
192233,-483669,144175,-291436
192235,-208716,4506,-16481
192239,-436516,72090,-244277
192243,-1206629,36046,-1014386
192247,-1224953,72093,-1032706
192249,-811243,144187,-618994
192251,-764500,18024,-572249
192259,-458377,36049,-266118
192263,-351206,72099,-158943
192265,-463864,144199,-271599
192267,-311151,9013,-118884
192271,-521896,72102,-329625
192273,-936785,144205,-744512
192275,-609595,36052,-417320
192279,-719140,72105,-526861
192283,-211278,18027,-18995
192287,-1068541,72108,-876254
192289,-481891,144217,-289602
192291,-299655,36055,-107364
192295,-379658,72111,-187363
192297,-721071,144223,-528774
192299,-269161,2254,-76862
192303,-435176,72114,-242873
192307,-360252,36058,-167945
192313,-411156,144235,-218843
192315,-396260,18030,-203945
192323,-382041,36061,-189718
192327,-350046,72123,-157719
192329,-680567,144247,-488238
192331,-392117,9016,-199786
192337,-964112,144253,-771775
192343,-557629,72129,-365286
192345,-604415,144259,-412070
192347,-574112,18033,-381765
192351,-869568,72132,-677217
192353,-825455,144265,-633102
192355,-235730,36067,-43375
192359,-292090,72135,-99731
192361,-1037639,144271,-845278
192363,-219729,4509,-27366
192367,-635802,72138,-443435
192371,-337814,36070,-145443
192375,-437296,72141,-244921
192377,-369662,144283,-177285
192379,-582185,18036,-389806
192385,-540456,144289,-348071
192387,-291477,36073,-99090
192391,-1011982,72147,-819591
192393,-1124715,144295,-932322
192395,-234159,9019,-41764
192399,-1251513,72150,-1059114
192401,-656864,144301,-464463
192407,-333615,72153,-141208
192409,-409154,144307,-216745
192411,-232790,18039,-40379
192415,-709017,72156,-516602
192417,-460540,144313,-268123
192419,-272824,36079,-80405
192427,-231270,1128,-38843
192431,-606957,72162,-414526
192435,-314539,36082,-122104
192439,-597487,72165,-405048
192441,-413370,144331,-220929
192443,-307380,18042,-114937
192449,-767161,144337,-574712
192451,-687531,36085,-495080
192455,-302341,72171,-109886
192457,-1142433,144343,-949976
192459,-253984,9022,-61525
192463,-1136215,72174,-943752
192465,-1188080,144349,-995615
192473,-399918,144355,-207445
192475,-512371,18045,-319896
192481,-799408,144361,-606927
192483,-659329,36091,-466846
192487,-1134757,72183,-942270
192489,-1294917,144367,-1102428
192491,-680950,4512,-488459
192495,-1207041,72186,-1014546
192499,-499559,36094,-307060
192503,-1294226,72189,-1101723
192505,-1442791,144379,-1250286
192513,-1340069,144385,-1147556
192515,-369673,36097,-177158
192519,-339709,72195,-147190
192521,-452517,144391,-259996
192523,-606582,9025,-414059
192527,-528394,72198,-335867
192529,-1324749,144397,-1132220
192531,-594375,36100,-401844
192535,-732382,72201,-539847
192537,-552076,144403,-359539
192539,-216900,18051,-24361
192543,-940123,72204,-747580
192545,-902802,144409,-710257
192547,-245114,36103,-52567
192551,-892686,72207,-700135
192553,-1123979,144415,-931426
192555,-235672,2257,-43117
192559,-383625,72210,-191066
192563,-833589,36106,-641026
192569,-377856,144427,-185287
192571,-382113,18054,-189542
192579,-445244,36109,-252665
192583,-310740,72219,-118157
192587,-281307,9028,-88720
192591,-782813,72222,-590222
192595,-1009176,36112,-816581
192599,-406410,72225,-213811
192601,-454094,144451,-261493
192603,-267179,18057,-74576
192607,-1164528,72228,-971921
192609,-852558,144457,-659949
192617,-659053,144463,-466436
192619,-200435,4515,-7816
192623,-1352964,72234,-1160341
192627,-390022,36118,-197395
192631,-524097,72237,-331466
192633,-404900,144475,-212267
192635,-322508,18060,-129873
192641,-703816,144481,-511175
192643,-334787,36121,-142144
192647,-372607,72243,-179960
192649,-485490,144487,-292841
192651,-207523,9031,-14872
192655,-1276025,72246,-1083370
192657,-756698,144493,-564041
192659,-1483078,36124,-1290419
192663,-321553,72249,-128890
192665,-549134,144499,-356469
192667,-400081,18063,-207414
192671,-646040,72252,-453369
192673,-628134,144505,-435461
192675,-457950,36127,-265275
192679,-587167,72255,-394488
192683,-197994,565,-5311
192687,-398316,72258,-205629
192691,-309271,36130,-116580
192697,-351436,144523,-158739
192699,-245305,18066,-52606
192705,-739217,144529,-546512
192707,-485063,36133,-292356
192711,-284065,72267,-91354
192713,-437000,144535,-244287
192715,-230999,9034,-38284
192723,-698590,36136,-505867
192727,-1361937,72273,-1169210
192739,-233624,36139,-40885
192743,-360533,72279,-167790
192745,-520906,144559,-328161
192747,-211261,4518,-18514
192751,-488162,72282,-295411
192755,-1248978,36142,-1056223
192759,-1216643,72285,-1023884
192761,-373353,144571,-180592
192763,-1122768,18072,-930005
192769,-709878,144577,-517109
192771,-383964,36145,-191193
192775,-306669,72291,-113894
192777,-419627,144583,-226850
192779,-244267,9037,-51488
192783,-504836,72294,-312053
192785,-704215,144589,-511430
192791,-620391,72297,-427600
192793,-785042,144595,-592249
192795,-216887,18075,-24092
192799,-656511,72300,-463712
192801,-504086,144601,-311285
192803,-869217,36151,-676414
192807,-949433,72303,-756626
192809,-1726706,144607,-1533897
192811,-227154,2260,-34343
192815,-377902,72306,-185087
192819,-507302,36154,-314483
192823,-927339,72309,-734516
192825,-369527,144619,-176702
192827,-290526,18078,-97699
192835,-466299,36157,-273464
192839,-317153,72315,-124314
192841,-629288,144631,-436447
192843,-658991,9040,-466148
192849,-2131146,144637,-1938297
192855,-428996,72321,-236141
192857,-743679,144643,-550822
192859,-238358,18081,-45499
192863,-1226459,72324,-1033596
192865,-490370,144649,-297505
192867,-275027,36163,-82160
192871,-331537,72327,-138666
192873,-559955,144655,-367082
192875,-283279,4521,-90404
192879,-884140,72330,-691261
192883,-382909,36166,-190026
192887,-1090745,72333,-897858
192889,-433611,144667,-240722
192891,-974262,18084,-781371
192897,-545445,144673,-352548
192899,-361636,36169,-168737
192903,-417309,72339,-224406
192905,-530342,144679,-337437
192907,-306132,9043,-113225
192911,-641024,72342,-448113
192915,-445952,36172,-253037
192919,-422827,72345,-229908
192921,-498567,144691,-305646
192923,-320279,18087,-127356
192929,-548635,144697,-355706
192931,-354889,36175,-161958
192935,-470769,72351,-277834
192939,-194100,1131,-1161
192943,-1920165,72354,-1727222
192947,-506887,36178,-313940
192951,-701733,72357,-508782
192953,-760615,144715,-567662
192955,-654343,18090,-461388
192967,-265360,72363,-72393
192969,-1109177,144727,-916208
192971,-281296,9046,-88325
192975,-1542523,72366,-1349548
192977,-786350,144733,-593373
192979,-613676,36184,-420697
192983,-648727,72369,-455744
192985,-379678,144739,-186693
192987,-254731,18093,-61744
192993,-648927,144745,-455934
192995,-264112,36187,-71117
192999,-482371,72375,-289372
193001,-642957,144751,-449956
193003,-243484,4524,-50481
193007,-459697,72378,-266690
193011,-883371,36190,-690360
193017,-494233,144763,-301216
193019,-500743,18096,-307724
193025,-697328,144769,-504303
193027,-311442,36193,-118415
193031,-346497,72387,-153466
193033,-459605,144775,-266572
193035,-211425,9049,-18390
193039,-602490,72390,-409451
193047,-386745,72393,-193698
193049,-498167,144787,-305118
193051,-220916,18099,-27865
193055,-644545,72396,-451490
193057,-597323,144793,-404266
193059,-249205,36199,-56146
193067,-199944,2263,-6877
193071,-457714,72402,-264643
193075,-427037,36202,-233962
193081,-342506,144811,-149425
193083,-556627,18102,-363544
193091,-301326,36205,-108235
193095,-369215,72411,-176120
193099,-327924,9052,-134825
193103,-1057030,72414,-863927
193107,-809318,36208,-616211
193111,-497277,72417,-304166
193113,-803326,144835,-610213
193115,-228564,18105,-35449
193119,-903197,72420,-710078
193121,-550477,144841,-357356
193123,-266662,36211,-73539
193127,-323247,72423,-130120
193131,-205031,4527,-11900
193135,-911222,72426,-718087
193139,-667651,36214,-474512
193143,-427222,72429,-234079
193145,-399075,144859,-205930
193147,-316464,18108,-123317
193153,-938697,144865,-745544
193155,-262210,36217,-69055
193159,-502004,72435,-308845
193161,-615187,144871,-422026
193163,-225945,9055,-32782
193169,-612819,144877,-419650
193171,-448424,36220,-255253
193175,-340278,72441,-147103
193177,-1543144,144883,-1349967
193179,-268340,18111,-75161
193183,-1998689,72444,-1805506
193185,-496999,144889,-303814
193187,-502479,36223,-309292
193195,-201340,142,-8145
193199,-417939,72450,-224740
193203,-318151,36226,-124948
193207,-754813,72453,-561606
193209,-354565,144907,-161356
193211,-248152,18114,-54941
193223,-309612,72459,-116389
193225,-557854,144919,-364629
193227,-256405,9058,-63178
193233,-1357409,144925,-1164176
193235,-490270,36232,-297035
193239,-515721,72465,-322482
193241,-413523,144931,-220282
193243,-346877,18117,-153634
193247,-865443,72468,-672196
193249,-688562,144937,-495313
193251,-237248,36235,-43997
193255,-373725,72471,-180470
193257,-534524,144943,-341267
193259,-210647,4530,-17388
193271,-651182,72477,-457911
193273,-400892,144955,-207619
193275,-353900,18120,-160625
193281,-1201103,144961,-1007822
193283,-339032,36241,-145749
193287,-293261,72483,-99974
193289,-406519,144967,-213230
193291,-239613,9061,-46322
193295,-464860,72486,-271565
193297,-770708,144973,-577411
193299,-903071,36244,-709772
193303,-589219,72489,-395916
193305,-834585,144979,-641280
193307,-219299,18123,-25992
193311,-615410,72492,-422099
193313,-567171,144985,-373858
193315,-392758,36247,-199443
193319,-473187,72495,-279868
193321,-1360055,144991,-1166734
193323,-206007,2266,-12684
193327,-524813,72498,-331486
193331,-449490,36250,-256159
193335,-1488930,72501,-1295595
193337,-348758,145003,-155421
193339,-549898,18126,-356559
193347,-547751,36253,-354404
193351,-607358,72507,-414007
193353,-660352,145015,-466999
193355,-583857,9064,-390502
193359,-830242,72510,-636883
193361,-1266238,145021,-1072877
193369,-391728,145027,-198359
193371,-325214,18129,-131843
193375,-713846,72516,-520471
193377,-577895,145033,-384518
193379,-481489,36259,-288110
193383,-538149,72519,-344766
193385,-863300,145039,-669915
193387,-461353,4533,-267966
193391,-728105,72522,-534714
193395,-567347,36262,-373952
193401,-612084,145051,-418683
193403,-437326,18132,-243923
193409,-783787,145057,-590378
193411,-588129,36265,-394718
193415,-771131,72531,-577716
193417,-884464,145063,-691047
193419,-210489,9067,-17070
193423,-809590,72534,-616167
193425,-906314,145069,-712889
193427,-514116,36268,-320689
193431,-339894,72537,-146463
193433,-415835,145075,-222402
193435,-233273,18135,-39838
193439,-1041947,72540,-848508
193441,-462235,145081,-268794
193443,-273520,36271,-80077
193447,-734295,72543,-540848
193449,-1073780,145087,-880331
193451,-238732,1134,-45281
193459,-324755,36274,-131296
193463,-775365,72549,-581902
193465,-393629,145099,-200164
193467,-287075,18138,-93608
193473,-1384270,145105,-1190797
193475,-498990,36277,-305515
193479,-310181,72555,-116702
193481,-571861,145111,-378380
193483,-340132,9070,-146649
193487,-1478164,72558,-1284677
193489,-814389,145117,-620900
193491,-859659,36280,-666168
193497,-408277,145123,-214780
193499,-298065,18141,-104566
193505,-586629,145129,-393124
193507,-279465,36283,-85958
193511,-396963,72567,-203452
193513,-557975,145135,-364462
193515,-296474,4536,-102959
193519,-848065,72570,-654546
193523,-659192,36286,-465669
193527,-596965,72573,-403438
193529,-503863,145147,-310334
193539,-573872,36289,-380333
193543,-372233,72579,-178690
193545,-485641,145159,-292096
193547,-334386,9073,-140839
193551,-648318,72582,-454767
193553,-902078,145165,-708525
193555,-505652,36292,-312097
193559,-460855,72585,-267296
193561,-1134956,145171,-941395
193563,-222903,18147,-29340
193567,-1176133,72588,-982566
193571,-251267,36295,-57696
193575,-440350,72591,-246775
193577,-672873,145183,-479296
193579,-207642,2269,-14063
193583,-438562,72594,-244979
193587,-381005,36298,-187418
193593,-350582,145195,-156989
193595,-330775,18150,-137180
193601,-924531,145201,-730930
193603,-380841,36301,-187238
193607,-283109,72603,-89502
193609,-762825,145207,-569216
193611,-785009,9076,-591398
193615,-655507,72606,-461892
193623,-369071,72609,-175448
193625,-547060,145219,-353435
193627,-243784,18153,-50157
193633,-1623072,145225,-1429439
193635,-389384,36307,-195749
193639,-446119,72615,-252480
193641,-1636103,145231,-1442462
193643,-206877,4539,-13234
193651,-587904,36310,-394253
193655,-637232,72621,-443577
193657,-608533,145243,-414876
193659,-525703,18156,-332044
193665,-798336,145249,-604671
193679,-870371,72630,-676692
193681,-640375,145261,-446694
193683,-445045,36316,-251362
193689,-452160,145267,-258471
193695,-631706,72636,-438011
193699,-725795,36319,-532096
193703,-895765,72639,-702062
193707,-208190,568,-14483
193711,-610511,72642,-416800
193715,-554514,36322,-360799
193719,-1017966,72645,-824247
193721,-354092,145291,-160371
193723,-247397,18162,-53674
193731,-405546,36325,-211815
193735,-628167,72651,-434432
193739,-574819,9082,-381080
193745,-982154,145309,-788409
193747,-641409,36328,-447662
193753,-741294,145315,-547541
193755,-1011041,18165,-817286
193761,-1434098,145321,-1240337
193763,-244009,36331,-50246
193767,-1033948,72663,-840181
193769,-1195173,145327,-1001404
193771,-333044,4542,-139273
193775,-423945,72666,-230170
193779,-717965,36334,-524186
193785,-495997,145339,-302212
193787,-1330456,18168,-1136669
193793,-1019350,145345,-825557
193799,-293164,72675,-99365
193801,-406722,145351,-212921
193803,-244532,9085,-50729
193807,-480915,72678,-287108
193809,-681353,145357,-487544
193811,-826264,36340,-632453
193815,-389055,72681,-195240
193819,-234265,18171,-40446
193823,-913591,72684,-719768
193825,-480449,145369,-286624
193827,-544972,36343,-351145
193831,-625614,72687,-431783
193839,-396135,72690,-202296
193843,-366809,36346,-172966
193851,-363680,18174,-169829
193865,-860048,145399,-666183
193867,-1767414,9088,-1573547
193881,-429286,145411,-235405
193883,-2058913,18177,-1865030
193887,-723396,72708,-529509
193889,-2312263,145417,-2118374
193891,-253401,36355,-59510
193895,-310211,72711,-116316
193897,-2369587,145423,-2175690
193899,-242854,4545,-48955
193903,-2418194,72714,-2224291
193907,-348434,36358,-154527
193911,-1200106,72717,-1006195
193913,-393984,145435,-200071
193923,-306226,36361,-112303
193927,-363921,72723,-169994
193929,-477554,145447,-283625
193931,-254546,9091,-60615
193935,-552869,72726,-358934
193937,-711253,145453,-517316
193939,-410865,36364,-216926
193943,-469992,72729,-276049
193945,-546134,145459,-352189
193947,-268768,18183,-74821
193953,-498336,145465,-304383
193955,-325636,36367,-131681
193959,-442131,72735,-248172
193963,-263309,1137,-69346
193967,-629657,72738,-435690
193971,-338551,36370,-144580
193977,-529034,145483,-335057
193979,-422198,18186,-228219
193987,-729231,36373,-535244
193991,-334947,72747,-140956
193993,-478446,145495,-284453
193995,-251731,9094,-57736
194001,-1294496,145501,-1100495
194003,-897434,36376,-703431
194007,-806956,72753,-612949
194009,-409155,145507,-215146
194011,-283545,18189,-89534
194017,-696753,145513,-502736
194019,-301165,36379,-107146
194023,-695368,72759,-501345
194025,-856806,145519,-662781
194027,-271365,4548,-77338
194031,-502670,72762,-308639
194035,-912123,36382,-718088
194039,-3149236,72765,-2955197
194041,-452441,145531,-258400
194043,-837334,18192,-643291
194049,-896135,145537,-702086
194051,-335871,36385,-141820
194055,-359897,72771,-165842
194057,-473605,145543,-279548
194059,-279254,9097,-85195
194063,-813690,72774,-619627
194065,-1148714,145549,-954649
194067,-631942,36388,-437875
194071,-673374,72777,-479303
194073,-785387,145555,-591314
194075,-990775,18195,-796700
194079,-606500,72780,-412421
194081,-1092989,145561,-898908
194083,-1019214,36391,-825131
194087,-459210,72783,-265123
194089,-692348,145567,-498259
194091,-196796,2275,-2705
194095,-1181221,72786,-987126
194099,-811008,36394,-616909
194105,-340114,145579,-146009
194107,-341186,18198,-147079
194113,-1390058,145585,-1195945
194115,-454463,36397,-260348
194119,-1225836,72795,-1031717
194123,-1184326,9100,-990203
194127,-1400247,72798,-1206120
194135,-477138,72801,-283003
194137,-552077,145603,-357940
194139,-1343915,18201,-1149776
194143,-898887,72804,-704744
194145,-1465687,145609,-1271542
194147,-1362979,36403,-1168832
194151,-1419864,72807,-1225713
194155,-200416,4551,-6261
194159,-800942,72810,-606783
194163,-739484,36406,-545321
194179,-257898,36409,-63719
194183,-389994,72819,-195811
194185,-503777,145639,-309592
194187,-278700,9103,-84513
194191,-903900,72822,-709709
194193,-669098,145645,-474905
194195,-446369,36412,-252174
194199,-393639,72825,-199440
194201,-667348,145651,-473147
194203,-307877,18207,-113674
194207,-703371,72828,-509164
194209,-537748,145657,-343539
194211,-424282,36415,-230071
194215,-675357,72831,-481142
194219,-196694,285,-2475
194223,-538162,72834,-343939
194227,-300819,36418,-106592
194231,-1791695,72837,-1597464
194233,-362925,145675,-168692
194235,-255948,18210,-61713
194241,-827739,145681,-633498
194247,-286315,72843,-92068
194249,-554100,145687,-359851
194251,-232826,9106,-38575
194257,-1831630,145693,-1637373
194259,-626659,36424,-432400
194263,-431899,72849,-237636
194265,-487012,145699,-292747
194267,-379165,18213,-184898
194271,-1272197,72852,-1077926
194273,-1122745,145705,-928472
194275,-252383,36427,-58108
194279,-329475,72855,-135196
194281,-491126,145711,-296845
194283,-225641,4554,-31358
194287,-449495,72858,-255208
194297,-1079875,145723,-885578
194299,-1032634,18216,-838335
194311,-317120,72867,-122809
194313,-430978,145735,-236665
194315,-296814,9109,-102499
194319,-489628,72870,-295309
194321,-1669312,145741,-1474991
194331,-214740,18219,-20409
194335,-636419,72876,-442084
194337,-551895,145753,-357558
194339,-278109,36439,-83770
194343,-358964,72879,-164621
194345,-931810,145759,-737465
194347,-204216,2278,-9869
194351,-413793,72882,-219442
194355,-338071,36442,-143716
194359,-724236,72885,-529877
194361,-347723,145771,-153362
194363,-479489,18222,-285126
194371,-392045,36445,-197674
194375,-285962,72891,-91587
194377,-1401873,145783,-1207496
194379,-327295,9112,-132916
194383,-1106895,72894,-912512
194385,-1356764,145789,-1162379
194391,-476749,72897,-282358
194393,-415953,145795,-221560
194395,-289455,18225,-95060
194399,-683929,72900,-489530
194401,-543474,145801,-349073
194403,-242024,36451,-47621
194407,-298984,72903,-104577
194409,-804196,145807,-609787
194411,-210566,4557,-16155
194415,-501173,72906,-306758
194419,-364874,36454,-170455
194423,-465415,72909,-270992
194425,-362095,145819,-167670
194427,-655487,18228,-461060
194433,-534707,145825,-340274
194435,-702173,36457,-507738
194439,-785206,72915,-590767
194441,-899139,145831,-704698
194443,-206389,9115,-11946
194449,-645624,145837,-451175
194451,-444949,36460,-250498
194455,-359787,72921,-165332
194457,-436130,145843,-241673
194459,-274715,18231,-80256
194463,-751653,72924,-557190
194465,-504889,145849,-310424
194467,-315175,36463,-120708
194471,-1435056,72927,-1240585
194473,-1776338,145855,-1581865
194475,-226155,1140,-31680
194479,-970606,72930,-776127
194483,-287624,36466,-93141
194487,-708417,72933,-513930
194489,-436493,145867,-242004
194491,-329375,18234,-134884
194497,-819701,145873,-625204
194499,-613409,36469,-418910
194503,-297982,72939,-103479
194505,-1294424,145879,-1099919
194507,-245159,9118,-50652
194511,-863154,72942,-668643
194513,-958303,145885,-763790
194519,-1408911,72945,-1214392
194521,-396597,145891,-202076
194523,-1027860,18237,-833337
194529,-1317951,145897,-1123422
194531,-271592,36475,-77061
194535,-369990,72951,-175455
194537,-531854,145903,-337317
194539,-318958,4560,-124419
194543,-546238,72954,-351695
194551,-1109465,72957,-914914
194553,-567843,145915,-373290
194561,-661191,145921,-466630
194563,-335613,36481,-141050
194567,-671565,72963,-476998
194569,-785573,145927,-591004
194571,-217319,9121,-22748
194575,-862257,72966,-667682
194579,-983299,36484,-788720
194583,-344457,72969,-149874
194585,-935581,145939,-740996
194587,-227134,18243,-32547
194591,-600443,72972,-405852
194593,-579783,145945,-385190
194595,-255648,36487,-61053
194599,-405388,72975,-210789
194601,-639141,145951,-444540
194603,-201614,2281,-7011
194607,-395632,72978,-201025
194617,-345310,145963,-150693
194619,-281587,18246,-86968
194625,-1083980,145969,-889355
194627,-586081,36493,-391454
194631,-277480,72987,-82849
194635,-733459,9124,-538824
194639,-1045886,72990,-851247
194643,-1246236,36496,-1051593
194647,-413540,72993,-218893
194649,-461731,145987,-267082
194651,-282298,18249,-87647
194657,-637985,145993,-443328
194659,-310395,36499,-115736
194663,-367430,72999,-172767
194665,-725314,145999,-530649
194667,-221772,4563,-27105
194671,-1107737,73002,-913066
194675,-434671,36502,-239996
194679,-564702,73005,-370023
194681,-367025,146011,-172344
194683,-283757,18252,-89074
194689,-1391517,146017,-1196828
194691,-380003,36505,-185312
194695,-418225,73011,-223530
194697,-532308,146023,-337611
194699,-228935,9127,-34236
194703,-732047,73014,-537344
194705,-755861,146029,-561156
194711,-344177,73017,-149466
194715,-277034,18255,-82319
194719,-604589,73020,-409870
194721,-507511,146041,-312790
194723,-335518,36511,-140795
194727,-967740,73023,-773013
194731,-205342,571,-10611
194735,-418241,73026,-223506
194739,-360020,36514,-165281
194745,-381936,146059,-187191
194747,-274677,18258,-79930
194753,-674248,146065,-479495
194759,-406253,73035,-211494
194761,-468409,146071,-273648
194763,-352623,9130,-157860
194771,-727730,36520,-532959
194777,-629519,146083,-434742
194787,-241350,36523,-46563
194791,-419077,73047,-224286
194793,-581154,146095,-386361
194795,-238487,4566,-43692
194799,-449145,73050,-254346
194803,-1025008,36526,-830205
194807,-506735,73053,-311928
194809,-402301,146107,-207492
194811,-432384,18264,-237573
194817,-786101,146113,-591284
194819,-436186,36529,-241367
194823,-288033,73059,-93210
194825,-402191,146119,-207366
194827,-224968,9133,-30141
194839,-468965,73065,-274126
194841,-635365,146131,-440524
194843,-222710,18267,-27867
194847,-741689,73068,-546842
194849,-480803,146137,-285954
194851,-499986,36535,-305135
194855,-581054,73071,-386199
194857,-872971,146143,-678114
194859,-212310,2284,-17451
194863,-385435,73074,-190572
194867,-469365,36538,-274498
194871,-1124118,73077,-929247
194873,-356195,146155,-161322
194875,-457908,18270,-263033
194883,-1252892,36541,-1058009
194887,-313313,73083,-118426
194889,-1207336,146167,-1012447
194891,-316605,9136,-121714
194903,-437592,73089,-242689
194905,-464648,146179,-269743
194907,-246657,18273,-51750
194911,-1505510,73092,-1310599
194913,-501345,146185,-306432
194915,-314602,36547,-119687
194919,-371712,73095,-176793
194921,-545480,146191,-350559
194923,-203793,4569,-8870
194927,-629552,73098,-434625
194931,-443868,36550,-248937
194937,-355721,146203,-160784
194939,-339914,18276,-144975
194945,-920436,146209,-725491
194947,-291040,36553,-96093
194951,-347304,73107,-152353
194953,-461537,146215,-266584
194955,-208610,9139,-13655
194959,-826993,73110,-632034
194961,-1026696,146221,-831735
194963,-500792,36556,-305829
194967,-476952,73113,-281985
194969,-553496,146227,-358527
194971,-222907,18279,-27936
194977,-453687,146233,-258710
194979,-1294849,36559,-1099870
194983,-1411959,73119,-1216976
194987,-197474,1143,-2487
194991,-501527,73122,-306536
194995,-325657,36562,-130662
194999,-624767,73125,-429768
195001,-417574,146251,-222573
195003,-310174,18282,-115171
195009,-1266093,146257,-1071084
195015,-269490,73131,-74475
195017,-664876,146263,-469859
195019,-268333,9142,-73314
195023,-1319849,73134,-1124826
195025,-856164,146269,-661139
195027,-680574,36568,-485547
195033,-378894,146275,-183861
195035,-252621,18285,-57586
195041,-725405,146281,-530364
195043,-248900,36571,-53857
195047,-783258,73143,-588211
195049,-945548,146287,-750499
195051,-228053,4572,-33002
195055,-453011,73146,-257956
195059,-802943,36574,-607884
195065,-875706,146299,-680641
195067,-882285,18288,-687218
195073,-602554,146305,-407481
195075,-375644,36577,-180569
195079,-463936,73155,-268857
195081,-578244,146311,-383163
195083,-212002,9145,-16919
195087,-1608142,73158,-1413055
195091,-537538,36580,-342447
195095,-428720,73161,-233625
195097,-541324,146323,-346227
195099,-237525,18291,-42426
195103,-628253,73164,-433150
195105,-580530,146329,-385425
195107,-266114,36583,-71007
195111,-941916,73167,-746805
195113,-1176284,146335,-981171
195115,-200140,2287,-5025
195119,-415470,73170,-220351
195123,-543454,36586,-348331
195129,-344214,146347,-149085
195131,-335865,18294,-140734
195139,-316135,36589,-120996
195143,-301920,73179,-106777
195145,-884934,146359,-689789
195147,-260191,9148,-65044
195151,-936283,73182,-741132
195159,-606724,73185,-411565
195161,-722583,146371,-527422
195163,-229063,18297,-33900
195169,-1436911,146377,-1241742
195171,-321660,36595,-126489
195175,-378845,73191,-183670
195177,-826929,146383,-631752
195179,-530386,4575,-335207
195183,-1869009,73194,-1673826
195191,-406226,73197,-211035
195193,-475536,146395,-280343
195195,-392049,18300,-196854
195201,-693866,146401,-498665
195203,-588171,36601,-392968
195207,-358687,73203,-163480
195209,-473070,146407,-277861
195211,-551832,9151,-356621
195217,-942497,146413,-747280
195219,-631472,36604,-436253
195223,-667377,73209,-472154
195225,-537426,146419,-342201
195227,-623206,18303,-427979
195231,-891024,73212,-695793
195233,-854289,146425,-659056
195235,-810222,36607,-614987
195243,-205672,72,-10429
195247,-1202687,73218,-1007440
195251,-304906,36610,-109655
195257,-371866,146443,-176609
195259,-264325,18306,-69066
195265,-809146,146449,-613881
195267,-1149948,36613,-954681
195271,-293614,73227,-98343
195273,-467577,146455,-272304
195275,-239843,9154,-44568
195281,-841114,146461,-645833
195283,-525905,36616,-330622
195287,-1368745,73233,-1173458
195289,-398626,146467,-203337
195291,-487391,18309,-292100
195295,-900818,73236,-705523
195297,-832697,146473,-637400
195299,-259706,36619,-64407
195303,-356371,73239,-161068
195305,-518874,146479,-323569
195307,-232823,4578,-37516
195311,-484486,73242,-289175
195319,-590311,73245,-394992
195321,-409740,146491,-214419
195323,-362250,18312,-166927
195329,-917108,146497,-721779
195331,-436795,36625,-241464
195335,-312255,73251,-116920
195337,-426713,146503,-231376
195339,-303004,9157,-107665
195343,-485672,73254,-290329
195347,-540548,36628,-345201
195351,-475715,73257,-280364
195355,-224515,18315,-29160
