D,F(D),Sigma(D),F(Sigma(D))
711,-1041,267,-330
712,-9109,1068,-8397
713,-1700,535,-987
714,-2890,1071,-2176
715,-850,34,-135
716,-3762,1074,-3046
717,-2650,538,-1933
718,-37103,1077,-36385
719,-6163,270,-5444
720,-48060,1080,-47340
721,-13568,541,-12847
722,-2303,1083,-1581
723,-1956,136,-1233
724,-11701,1086,-10977
725,-23288,544,-22563
726,-15749,1089,-15023
727,-1783,273,-1056
728,-19088,1092,-18360
729,-1458,547,-729
730,-2315,1095,-1585
731,-10529,69,-9798
732,-17857,1098,-17125
733,-2767,550,-2034
734,-15980,1101,-15246
735,-3424,276,-2689
736,-161212,1104,-160476
737,-11840,553,-11103
738,-18282,1107,-17544
739,-888,139,-149
740,-17093,1110,-16353
741,-3642,556,-2901
742,-14523,1113,-13781
743,-1416,279,-673
744,-30116,1116,-29372
745,-2039,559,-1294
746,-12259,1119,-11513
747,-795,18,-48
748,-5384,1122,-4636
749,-2580,562,-1831
750,-6064,1125,-5314
751,-2001,282,-1250
752,-39595,1128,-38843
753,-6064,565,-5311
754,-1915,1131,-1161
755,-8900,142,-8145
756,-46037,1134,-45281
757,-15240,568,-14483
758,-70104,1137,-69346
759,-3234,285,-2475
760,-32440,1140,-31680
761,-11372,571,-10611
762,-3249,1143,-2487
763,-11192,72,-10429
764,-20507,1146,-19743
765,-5598,574,-4833
766,-8438,1149,-7672
767,-6934,288,-6167
768,-61397,1152,-60629
769,-18055,577,-17286
770,-2396,1155,-1626
771,-1290,145,-519
772,-15848,1158,-15076
773,-7380,580,-6607
774,-3316,1161,-2542
775,-11258,291,-10483
776,-23634,1164,-22858
777,-11716,583,-10939
778,-4468,1167,-3690
779,-11049,37,-10270
780,-4853,1170,-4073
781,-3930,586,-3149
782,-27534,1173,-26752
783,-11965,294,-11182
784,-17513,1176,-16729
785,-2963,589,-2178
786,-12281,1179,-11495
787,-2907,148,-2120
788,-7954,1182,-7166
789,-33544,592,-32755
790,-13694,1185,-12904
791,-9855,297,-9064
792,-442955,1188,-442163
793,-10868,595,-10075
