src,dst,kappa,delta,w_raw,w_aug
124,14855,2,0.001945644315,-0.415037499279,-0.413091854964
125,187,1,0.001930027098,0.584962500721,0.586892527820
125,9935,2,0.001930027098,-0.415037499279,-0.413107472180
126,10030,1,0.001914658597,0.584962500721,0.586877159318
126,5015,2,0.001914658597,-0.415037499279,-0.413122840682
127,190,1,0.001899532915,0.584962500721,0.586862033637
127,95,2,0.001899532915,-0.415037499279,-0.413137966363
128,10033,1,0.001884644345,0.584962500721,0.586847145066
128,14858,2,0.001884644345,-0.415037499279,-0.413152854934
129,193,1,0.001869987353,0.584962500721,0.586832488074
129,9938,2,0.001869987353,-0.415037499279,-0.413167511926
130,10036,1,0.001855556578,0.584962500721,0.586818057300
130,5018,2,0.001855556578,-0.415037499279,-0.413181942700
131,196,1,0.001841346824,0.584962500721,0.586803847545
131,98,2,0.001841346824,-0.415037499279,-0.413196152455
132,10039,1,0.001827353051,0.584962500721,0.586789853772
132,14861,2,0.001827353051,-0.415037499279,-0.413210146228
133,199,1,0.001813570372,0.584962500721,0.586776071093
133,9941,2,0.001813570372,-0.415037499279,-0.413223928907
134,10042,1,0.001799994046,0.584962500721,0.586762494767
134,5021,2,0.001799994046,-0.415037499279,-0.413237505233
135,202,1,0.001786619474,0.584962500721,0.586749120195
135,101,2,0.001786619474,-0.415037499279,-0.413250879805
136,10045,1,0.001773442191,0.584962500721,0.586735942912
136,14864,2,0.001773442191,-0.415037499279,-0.413264057088
137,205,1,0.001760457864,0.584962500721,0.586722958586
137,9944,2,0.001760457864,-0.415037499279,-0.413277041414
138,10048,1,0.001747662286,0.584962500721,0.586710163007
138,5024,2,0.001747662286,-0.415037499279,-0.413289836993
139,208,1,0.001735051371,0.584962500721,0.586697552092
139,104,2,0.001735051371,-0.415037499279,-0.413302447908
140,10051,1,0.001722621149,0.584962500721,0.586685121870
140,14867,2,0.001722621149,-0.415037499279,-0.413314878130
141,211,1,0.001710367765,0.584962500721,0.586672868486
141,9947,2,0.001710367765,-0.415037499279,-0.413327131514
142,10054,1,0.001698287472,0.584962500721,0.586660788193
142,5027,2,0.001698287472,-0.415037499279,-0.413339211807
143,214,1,0.001686376628,0.584962500721,0.586648877349
143,107,2,0.001686376628,-0.415037499279,-0.413351122651
144,10057,1,0.001674631692,0.584962500721,0.586637132413
144,14870,2,0.001674631692,-0.415037499279,-0.413362867587
145,217,1,0.001663049223,0.584962500721,0.586625549944
145,9950,2,0.001663049223,-0.415037499279,-0.413374450056
146,10060,1,0.001651625871,0.584962500721,0.586614126592
146,5030,2,0.001651625871,-0.415037499279,-0.413385873408
